Track name,Artist,Popularity,Release year,Genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Esa Soy Yo,América Sierra,4,2019,"genre:""Regional Mexican""",0.706,0.662,4,-3.266,1,0.0312,0.461,0.0,0.189,0.516,133.061
Baila Mi Cumbia,La Onda,10,2009,"genre:""Regional Mexican""",0.824,0.811,10,-6.435,1,0.0395,0.086,0.000279,0.0554,0.935,103.376
Ojitos De Lucero,Las Palomas Del Norte,30,2004,"genre:""Regional Mexican""",0.807,0.511,10,-6.75,1,0.0431,0.71,0.0032,0.0444,0.959,112.059
Díganle,Las Fenix,11,2021,"genre:""Regional Mexican""",0.598,0.822,0,-3.095,0,0.0545,0.251,0.0,0.0823,0.771,173.88
Lo Del Agua Al Agua,Adelita Tapia,0,2017,"genre:""Regional Mexican""",0.48,0.272,2,-10.526,1,0.0478,0.641,8.98e-06,0.0834,0.61,158.229
La Malagueña,Mariachi Divas de Cindy Shea,13,2006,"genre:""Regional Mexican""",0.464,0.438,7,-5.946,0,0.0286,0.748,2.05e-05,0.0814,0.279,90.628
Tonto,Jenni Rivera,12,1999,"genre:""Regional Mexican""",0.765,0.747,0,-2.892,0,0.023,0.596,0.00066,0.0984,0.727,106.072
A Cambio de Qué - Pop,Jenni Rivera,49,2011,"genre:""Regional Mexican""",0.717,0.645,5,-5.039,1,0.0376,0.658,0.0,0.241,0.646,140.147
Quisiera Saber,Marilyn Odessa,4,2012,"genre:""Regional Mexican""",0.69,0.54,2,-5.976,1,0.0298,0.529,0.0,0.141,0.291,128.009
Los Pilares de la Carcel,Las Fenix,3,2011,"genre:""Regional Mexican""",0.693,0.657,0,-5.064,1,0.0305,0.195,0.0,0.0466,0.915,139.702
Me Siento Mal,Angélica Gallegos,37,2022,"genre:""Regional Mexican""",0.621,0.239,9,-7.905,1,0.0413,0.623,1.3e-06,0.32,0.283,80.478
Te Quedarás Conmigo,Elsa Rios,9,2010,"genre:""Regional Mexican""",0.57,0.392,0,-11.476,0,0.166,0.364,0.0,0.0759,0.684,187.205
Ni Dios Lo Quiera,Luz Maria,1,2021,"genre:""Regional Mexican""",0.641,0.456,5,-4.096,1,0.0369,0.606,1.06e-06,0.194,0.839,83.979
Heaven's Shore,Ambyion,29,2022,"genre:""Chill""",0.646,0.695,10,-10.975,0,0.0448,0.0404,0.931,0.154,0.0925,112.02
I Hate the One That I Was Before,Madson.,13,2019,"genre:""Chill""",0.569,0.406,7,-7.679,1,0.0317,0.46,0.0132,0.227,0.308,80.032
Pyro,Ruby Haunt,25,2021,"genre:""Chill""",0.447,0.369,3,-10.778,1,0.0306,0.806,0.894,0.13,0.0779,73.017
Downey - Lounge Mix,Florito,11,2023,"genre:""Chill""",0.571,0.495,7,-9.734,1,0.0373,0.775,0.913,0.151,0.369,88.058
Low,Worldtraveller,29,2020,"genre:""Chill""",0.731,0.452,5,-14.788,0,0.0513,0.64,0.896,0.0958,0.524,107.994
Beginnings,Knowmadic,35,2018,"genre:""Chill""",0.612,0.181,6,-15.316,0,0.116,0.788,0.606,0.108,0.519,69.987
Without You,Ascence,33,2020,"genre:""Chill""",0.5,0.971,7,-2.912,1,0.0476,0.0367,0.031,0.338,0.271,149.933
Find Your Way (See),Sun Glitters,5,2011,"genre:""Chill""",0.399,0.412,7,-11.658,1,0.129,0.355,0.098,0.0806,0.314,77.974
Journey to Mandurai - Buddha Bar Edit,Chris Le Blanc,4,2016,"genre:""Chill""",0.621,0.739,7,-8.657,1,0.0627,0.00118,0.763,0.924,0.736,83.994
put your head on my shoulder,vict molina,4,2022,"genre:""Chill""",0.493,0.222,7,-14.633,1,0.0305,0.806,0.00168,0.108,0.217,171.745
Messed Up Kids,oomiee,17,2018,"genre:""Chill""",0.581,0.814,4,-6.523,1,0.344,0.0556,0.00276,0.172,0.448,74.039
Sigueme - Original Mix,Camiel,0,2017,"genre:""Chill""",0.704,0.433,0,-10.114,1,0.0721,0.041,0.255,0.0539,0.922,169.939
Time,Remulak,4,2019,"genre:""Chill""",0.453,0.407,0,-12.363,0,0.045,0.816,0.874,0.114,0.292,78.376
Nightnight - Skit,DRWN.,1,2018,"genre:""Chill""",0.432,0.247,1,-18.107,0,0.0305,0.922,0.9,0.0973,0.066,170.504
Rain & Flowers,Tomppabeats,32,2016,"genre:""Chill""",0.682,0.162,7,-15.88,1,0.0763,0.462,0.00611,0.232,0.845,76.053
Supernova,Azur,59,2023,"genre:""Chill""",0.551,0.0638,6,-20.289,1,0.0891,0.989,0.919,0.11,0.286,93.605
Contact - The Wide Ocean Mix,Cinematic,0,2021,"genre:""Chill""",0.596,0.76,11,-11.015,0,0.0575,0.00157,0.894,0.148,0.516,164.064
PULSE,LXST CXNTURY,34,2023,"genre:""Chill""",0.705,0.95,8,-5.848,1,0.171,0.0365,0.968,0.2,0.17,119.99
Misery,Sefu,1,2022,"genre:""Chill""",0.355,0.612,11,-5.675,1,0.145,0.658,0.0,0.134,0.636,92.893
Got My Own,Leavv,11,2021,"genre:""Chill""",0.719,0.125,11,-14.832,0,0.265,0.671,0.84,0.0735,0.523,176.906
Gangland,Stilz,8,2018,"genre:""Chill""",0.634,0.362,9,-11.918,0,0.0597,0.0214,0.844,0.0934,0.231,180.014
Prism,DRWN.,5,2017,"genre:""Chill""",0.72,0.383,1,-12.941,0,0.432,0.815,0.446,0.173,0.333,83.026
AA0799,AK,11,2018,"genre:""Chill""",0.453,0.102,6,-25.743,1,0.0311,0.89,0.93,0.0754,0.0665,131.978
Situation (Outro),Lil Aone,9,2022,"genre:""Chill""",0.78,0.38,6,-13.193,0,0.206,0.26,0.0,0.116,0.181,96.02
Aman Aman,Cambis,10,2014,"genre:""Chill""",0.428,0.736,5,-8.986,0,0.0342,0.15,0.116,0.231,0.525,168.136
City Lights,Blackmill,33,2011,"genre:""Chill""",0.625,0.829,0,-7.244,0,0.0494,0.0155,1.99e-06,0.401,0.395,140.133
In the Shade,Donatella Monza,9,2018,"genre:""Chill""",0.589,0.0758,9,-19.008,0,0.0459,0.985,0.922,0.113,0.193,76.022
How Long,Sha7an,22,2023,"genre:""Chill""",0.717,0.526,1,-12.257,0,0.055,0.153,0.000527,0.207,0.144,121.037
motherly,DJ DEADHORSES,22,2023,"genre:""Chill""",0.47,0.629,7,-16.705,0,0.0415,0.0307,0.93,0.187,0.518,162.045
Unwind,Digby Jones,36,2023,"genre:""Chill""",0.809,0.671,11,-7.911,0,0.0418,0.0248,0.856,0.781,0.783,111.917
Valis Called (Control),Com Truise,13,2014,"genre:""Chill""",0.665,0.324,9,-8.707,0,0.206,0.0023,0.393,0.109,0.294,194.024
Butterflys Stay with Me - The Green Cut,Frank Borell,6,2019,"genre:""Chill""",0.564,0.789,0,-7.374,1,0.033,0.282,0.967,0.121,0.557,90.0
Find Yourself (Alone),Foliage,4,2017,"genre:""Chill""",0.53,0.78,5,-6.765,1,0.0334,0.00106,0.00819,0.235,0.802,139.988
Suikazura,Mujo,27,2022,"genre:""Chill""",0.669,0.216,5,-13.14,1,0.412,0.825,0.772,0.128,0.17,107.903
Just Like I Am,August D. Valentine,27,2018,"genre:""Chill""",0.442,0.252,0,-11.802,1,0.0457,0.904,0.895,0.111,0.472,159.894
Discover,Tommy Berre,23,2021,"genre:""Chill""",0.552,0.141,2,-14.145,1,0.0494,0.975,0.86,0.0921,0.273,124.109
Dizzy - Joe Hertz Remix,Tim Atlas,21,2020,"genre:""Chill""",0.866,0.557,5,-9.755,0,0.0585,0.0381,0.0413,0.345,0.198,120.986
Super Power - Acoustic,Jordan Hawkins,28,2022,"genre:""Chill""",0.697,0.244,11,-13.854,0,0.0502,0.498,0.0,0.161,0.425,133.738
Metal Bird,Gold Panda,18,2016,"genre:""Chill""",0.596,0.677,11,-9.633,0,0.0695,0.273,0.0229,0.0958,0.559,140.035
Stay Again,Monodeluxe,7,2015,"genre:""Chill""",0.731,0.664,5,-10.145,0,0.0354,0.342,0.133,0.1,0.424,103.005
Cry (Original),Afterlife,17,1999,"genre:""Chill""",0.654,0.66,9,-7.763,1,0.0362,0.53,0.35,0.107,0.226,90.02
変わらない,Itto,0,2015,"genre:""Chill""",0.386,0.759,5,-6.938,0,0.0418,0.5,4.46e-06,0.226,0.245,135.794
Se fossi foco,Stefano Saletti,0,2021,"genre:""Chill""",0.593,0.386,11,-7.547,0,0.0279,0.18,7.84e-05,0.109,0.261,114.148
Sidewalkin',Lester Nowhere,20,2017,"genre:""Chill""",0.827,0.554,1,-7.656,0,0.0679,0.363,0.901,0.317,0.543,90.996
RBMA BC Sendai Session Beat,Bugseed,1,2014,"genre:""Chill""",0.645,0.862,7,-5.237,1,0.238,0.215,0.675,0.379,0.539,86.084
Your Eyes,Schwarz & Funk,9,2021,"genre:""Chill""",0.786,0.522,5,-8.159,1,0.228,0.0996,0.909,0.0414,0.774,90.01
Hope(less) - Original Mix,Arkasia,11,2011,"genre:""Chill""",0.439,0.64,7,-6.899,0,0.0686,0.0415,0.126,0.103,0.0379,139.945
Lullaby of the Sea,Birocratic,17,2017,"genre:""Chill""",0.709,0.617,9,-7.645,0,0.0327,0.113,0.0489,0.0619,0.442,139.477
2am,VILLSHANA,23,2023,"genre:""Chill""",0.683,0.728,7,-4.813,1,0.028,0.395,2.58e-06,0.112,0.675,139.934
Liturgy,Phelian,30,2018,"genre:""Chill""",0.326,0.418,5,-15.162,0,0.0667,0.651,0.939,0.128,0.0852,109.749
Invisible,Eminence,21,2015,"genre:""Gaming""",0.498,0.663,0,-5.49,0,0.0461,0.0867,2.24e-05,0.101,0.172,127.999
Necessity Tech,BVSSIC,15,2023,"genre:""Gaming""",0.74,0.861,6,-2.649,0,0.0574,0.17,0.103,0.111,0.0575,110.016
I'm Back,Sikdope,21,2016,"genre:""Gaming""",0.647,0.904,6,-3.886,0,0.0377,0.0021,0.743,0.0931,0.0995,128.006
Listen Vip,Habstrakt,4,2014,"genre:""Gaming""",0.698,0.908,7,-3.372,1,0.131,0.0035,0.473,0.087,0.424,102.061
Pitch Black,Trampa,2,2013,"genre:""Gaming""",0.665,0.786,0,-6.782,0,0.0454,3.75e-05,0.955,0.375,0.0281,140.419
Losing Control,Terravita,14,2014,"genre:""Gaming""",0.45,0.942,1,-2.598,1,0.0631,0.000134,0.314,0.0663,0.321,174.019
Pixie Dust,nanobii,25,2016,"genre:""Gaming""",0.437,0.883,8,-6.342,1,0.0532,0.0775,0.811,0.112,0.453,180.104
IDONTBELONGHERE,Varien,23,2019,"genre:""Gaming""",0.738,0.679,9,-8.928,0,0.0296,0.00388,0.891,0.118,0.508,130.021
God,INHUMAN,23,2016,"genre:""Gaming""",0.447,0.511,1,-2.611,1,0.164,0.00918,0.651,0.117,0.0395,140.045
All Of The Above,Virtual Riot,18,2023,"genre:""Gaming""",0.421,0.724,8,-8.785,1,0.0494,0.098,0.0577,0.131,0.2,115.25
Sad Machine 927,Kozmoz,40,2022,"genre:""Gaming""",0.609,0.997,5,-0.973,0,0.14,0.156,0.531,0.124,0.116,144.973
Used To,Axero,11,2021,"genre:""Gaming""",0.736,0.791,5,-7.416,1,0.0269,0.414,0.00018,0.0865,0.398,109.987
Suga,Walter Wilde,9,2018,"genre:""Gaming""",0.806,0.946,11,-2.549,1,0.169,0.0246,0.221,0.31,0.755,145.995
Twisted Metal,Megalodon,2,2012,"genre:""Gaming""",0.698,0.818,11,-7.002,0,0.0871,0.000523,0.874,0.634,0.558,140.003
Want Your Love,Stonebank,11,2019,"genre:""Gaming""",0.565,0.976,4,-1.868,0,0.0546,0.000583,2.1e-05,0.136,0.17,124.01
Right Through,Disco's Over,4,2015,"genre:""Gaming""",0.529,0.728,5,-5.891,0,0.0778,0.0256,4.87e-05,0.353,0.457,130.284
Together Again,Bandlez,17,2019,"genre:""Gaming""",0.413,0.943,0,-2.753,0,0.397,0.00225,0.00192,0.624,0.355,150.014
Immortals,Bainbridge,21,2019,"genre:""Gaming""",0.377,0.969,11,0.389,0,0.429,0.0977,0.0467,0.116,0.25,120.152
Heroes,Kotori,8,2019,"genre:""Gaming""",0.602,0.65,1,-5.505,1,0.0377,0.0167,0.00147,0.151,0.232,75.009
Half Breed,Megalodon,14,2018,"genre:""Gaming""",0.327,0.983,5,-1.73,0,0.167,0.000246,0.0355,0.328,0.163,149.477
Lockdown VIP,Megalodon,1,2011,"genre:""Gaming""",0.819,0.787,7,-6.056,1,0.271,0.000334,0.446,0.275,0.312,139.934
Life,Televisor,5,2012,"genre:""Gaming""",0.639,0.729,7,-5.209,1,0.0767,0.0616,0.106,0.0956,0.674,128.055
Never Say Never (MYLK Remix),Draper,7,2019,"genre:""Gaming""",0.758,0.799,11,-3.541,0,0.0499,0.00437,7.83e-05,0.281,0.832,137.002
Lol Trap Music,Hi I'm Ghost,20,2019,"genre:""Gaming""",0.779,0.973,1,-1.182,1,0.3,0.0151,0.0203,0.133,0.389,144.999
Dryest Boy,Neonix,6,2019,"genre:""Gaming""",0.819,0.815,11,-1.455,0,0.156,0.000109,0.329,0.126,0.546,139.941
Dead Eye,beastboi.,10,2022,"genre:""Gaming""",0.603,0.952,5,-4.693,0,0.51,0.0269,0.00265,0.451,0.132,72.52
Lately,Rival,26,2019,"genre:""Gaming""",0.781,0.456,9,-7.051,1,0.0381,0.386,1.32e-05,0.0767,0.544,117.976
Phantom,NexP,3,2022,"genre:""Gaming""",0.779,0.746,2,-5.635,1,0.0742,0.431,0.664,0.24,0.15,100.018
Change,IZECOLD,5,2015,"genre:""Gaming""",0.539,0.796,6,-9.15,1,0.0537,0.0301,0.833,0.394,0.208,170.029
Standing at the Edge,Trivecta,22,2019,"genre:""Gaming""",0.519,0.893,5,-4.936,0,0.0755,0.00871,0.052,0.166,0.216,77.56
Elements,Fractal,9,2013,"genre:""Gaming""",0.433,0.821,8,-5.692,1,0.0395,0.00027,0.0205,0.361,0.101,139.901
Heat Stroke,High Zombie,3,2022,"genre:""Gaming""",0.706,0.913,1,-1.961,1,0.156,0.000961,0.338,0.108,0.0759,140.091
Welcome To The Party,Hi I'm Ghost,14,2023,"genre:""Gaming""",0.458,0.985,2,-1.796,1,0.311,0.000463,0.0811,0.156,0.142,149.916
This Life,Johnning,16,2014,"genre:""Gaming""",0.533,0.921,8,-4.684,1,0.0582,0.00563,0.0146,0.141,0.174,128.022
Battle Axe,Axel Boy,3,2015,"genre:""Gaming""",0.399,0.764,1,-6.003,0,0.132,0.0417,7.14e-06,0.0928,0.0743,108.937
Lithium,NexP,6,2022,"genre:""Gaming""",0.756,0.826,1,-7.315,1,0.0432,0.0332,0.677,0.0812,0.627,125.016
Skeleton Johny,Wubbaduck,6,2019,"genre:""Gaming""",0.748,0.812,1,-1.368,1,0.239,0.00126,0.0173,0.154,0.212,139.977
Image,STUCA,7,2018,"genre:""Gaming""",0.779,0.703,1,-5.083,1,0.0386,0.00142,0.758,0.0443,0.107,127.993
Home,Harley Bird,15,2017,"genre:""Gaming""",0.647,0.868,0,-3.253,0,0.0359,0.045,6.29e-06,0.24,0.372,103.983
Unshakeable,AFK,8,2016,"genre:""Gaming""",0.495,0.863,4,-3.981,1,0.0286,0.00641,7.23e-05,0.116,0.108,150.029
Execute,Kliptic,26,2022,"genre:""Gaming""",0.484,0.956,2,-0.803,1,0.463,0.00184,0.00903,0.327,0.119,150.184
Sunset (Contacreast Remix),Soulero,4,2013,"genre:""Gaming""",0.577,0.949,9,-6.972,1,0.032,0.00536,0.921,0.0797,0.657,135.025
Universal,TwoThirds,5,2013,"genre:""Gaming""",0.336,0.813,4,-4.55,1,0.0366,0.000336,0.899,0.153,0.129,174.989
Follow - Litil Remix,Sikdope,9,2020,"genre:""Gaming""",0.586,0.98,1,-0.608,1,0.236,0.00621,0.251,0.706,0.121,72.592
Electro House,K-391,42,2018,"genre:""Gaming""",0.779,0.522,6,-10.336,0,0.145,0.0281,0.592,0.09,0.345,127.997
Locked N' Loaded,Benda,5,2019,"genre:""Gaming""",0.496,0.994,2,-1.588,1,0.42,0.00916,0.611,0.0684,0.266,149.772
Antihuman,Jiqui,3,2019,"genre:""Gaming""",0.59,0.99,1,-1.789,1,0.364,0.00207,0.165,0.253,0.344,150.016
Slow,Aweminus,5,2023,"genre:""Gaming""",0.776,0.836,1,-1.592,1,0.0404,0.00201,0.0,0.358,0.279,141.967
Chain Protocol,Stabby,3,2018,"genre:""Gaming""",0.704,0.943,9,-0.63,1,0.368,0.0795,0.0907,0.103,0.163,150.054
Interdimensional,Chime,17,2019,"genre:""Gaming""",0.526,0.87,2,-4.432,1,0.183,0.0106,0.000444,0.109,0.256,75.005
